1: What river flows through Seville?,Guadalquivir,Ebro,Tajo,Duero,0,Sevilla
2: What is the name of Seville's famous royal palace?,Alhambra,Alcázar,Mezquita,Generalife,1,Sevilla
3: In which autonomous community is Seville located?,Catalonia,Andalusia,Extremadura,Castile-La Mancha,1,Sevilla
4: Seville's cathedral was built on the site of a former what?,Roman temple,Mosque,Synagogue,Castle,1,Sevilla
5: What is the name of Seville's iconic bell tower?,Torre del Oro,Giralda,Torre del Homenaje,Torre de la Plata,1,Sevilla
6: Which world fair was held in Seville in 1992?,Expo 92,World's Fair 92,Sevilla 92,Universal Expo 92,0,Sevilla
7: What is the traditional dance closely associated with Seville?,Flamenco,Salsa,Tango,Pasodoble,0,Sevilla
8: Which neighborhood in Seville is known for its narrow streets and orange trees?,Triana,Santa Cruz,Los Remedios,Macarena,1,Sevilla
9: What is the name of Seville's annual spring fair?,Semana Santa,Feria de Abril,Feria de Agosto,Carnaval,1,Sevilla
10: Which Spanish painter from Seville is famous for 'Las Meninas'?,El Greco,Francisco Goya,Diego Velázquez,Pablo Picasso,2,Sevilla
11: Seville is the capital of which province?,Cádiz,Málaga,Sevilla,Córdoba,2,Sevilla
12: What is the name of the golden tower along Seville's river?,Torre del Oro,Torre del Plata,Torre de la Giralda,Torre de la Plata,0,Sevilla
13: Which Roman emperor was born in Italica near Seville?,Julius Caesar,Augustus,Trajan,Nero,2,Sevilla
14: What is the typical Sevillian tapas dish of fried fish called?,Patatas bravas,Pescaito frito,Croquetas,Tortilla,1,Sevilla
15: Which famous opera is set in Seville?,La Traviata,Carmen,The Magic Flute,Rigoletto,1,Sevilla
16: What is Seville's main train station called?,Santa Justa,Atocha,Sants,Estación de Sevilla,0,Sevilla
17: Which plaza in Seville features a large semi-circular building with canals?,Plaza Mayor,Plaza de España,Plaza Nueva,Plaza del Triunfo,1,Sevilla
18: What is the name of Seville's bullring?,La Maestranza,Las Ventas,La Monumental,Plaza de Toros de Sevilla,0,Sevilla
19: Seville's Holy Week is known as what?,Feria de Abril,Semana Santa,Navidad,Romería,1,Sevilla
20: Which king's palace is inside the Alcázar of Seville?,King Ferdinand,King Alfonso X,King Pedro I,King Charles V,2,Sevilla
21: What is the name of the river island in Seville that hosted Expo 92?,Isla Mágica,Isla de la Cartuja,Isla de los Pájaros,Isla Verde,1,Sevilla
22: Which neighborhood across the river is famous for its ceramic tradition?,Santa Cruz,Macarena,Triana,Nervión,2,Sevilla
23: What cold soup originates from the Seville region?,Gazpacho,Salmorejo,Ajoblanco,Sopa de ajo,1,Sevilla
