What year did the first iPhone launch?,2005,2007,2008,2010,1,Technology
What does HTTP stand for?,HyperText Transmission Protocol,HyperText Transfer Protocol,High Transfer Text Protocol,Hyper Transfer Protocol,1,Technology
Which company acquired WhatsApp for $19B?,Google,Microsoft,Facebook,Amazon,2,Business
What does VPN stand for?,Virtual Public Network,Variable Private Network,Virtual Private Network,Verified Private Network,2,Technology
Which programming language was created by Brendan Eich?,Java,C++,Python,JavaScript,3,Technology
What year was Google founded?,1995,1998,2000,2004,1,Technology
What does RAM stand for?,Read Access Memory,Random Access Memory,Rapid Access Memory,Read And Modify,1,Technology
TikTok's parent company is called what?,Tencent,ByteDance,Alibaba,Baidu,1,Business
What does CSS stand for?,Computer Style Sheets,Cascading Style Sheets,Creative Style Sheets,Colorful Style Sheets,1,Technology
Which company makes the PlayStation?,Microsoft,Nintendo,Sony,Sega,2,Gaming
What was Google's original name?,Googol,BackRub,Plex,PageRank,1,Technology
What does API stand for?,Application Programming Interface,Automated Program Interface,Advanced Program Integration,Application Protocol Interface,0,Technology
Which company owns Instagram?,Google,Microsoft,Apple,Meta,3,Business
In what year was Netflix founded?,1995,1997,2000,2003,1,Technology
What does SQL stand for?,Simple Query Language,Structured Query Language,Standard Query Language,Sequential Query Language,1,Technology
Which anime follows a boy who wants to become Hokage?,One Piece,Bleach,Naruto,Dragon Ball,2,Anime
In Death Note, what is Light Yagami's last name?,Yamada,Yagami,Yamamoto,Yoshida,1,Anime
What sport is Haikyuu about?,Basketball,Volleyball,Tennis,Baseball,1,Sports
In Dragon Ball, what race is Goku?,Human,Saiyan,Namekian,Frieza,1,Anime
Which anime features the One For All quirk?,One Punch Man,My Hero Academia,Attack on Titan,Fairy Tail,1,Anime
What is the highest-grossing anime movie of all time?,Spirited Away,Your Name,Demon Slayer: Mugen Train,Weathering With You,2,Anime
In Attack on Titan, who is the main protagonist?,Mikasa,Armin,Eren,Levi,2,Anime
Which Studio made Spirited Away?,Madhouse,Toei Animation,Kyoto Animation,Studio Ghibli,3,Anime
In One Piece, what is the protagonist's name?,Zoro,Luffy,Nami,Sanji,1,Anime
Which anime has characters trying to assassinate their teacher?,Assassination Classroom,Tokyo Ghoul,Death Note,Classroom of the Elite,0,Anime
What year was the first iPhone released?,2005,2007,2008,2009,1,Technology
Which Marvel movie is the highest-grossing of all time?,Avengers: Endgame,Avengers: Infinity War,Spider-Man: No Way Home,Black Panther,0,Movies
Who played Iron Man in the MCU?,Chris Evans,Chris Hemsworth,Robert Downey Jr.,Mark Ruffalo,2,Movies
What is the name of the fictional continent in Game of Thrones?,Westeros,Essos,Narnia,Middle-earth,0,TV
Which 90s sitcom was about six friends living in New York?,Seinfeld,Friends,How I Met Your Mother,The Office,1,TV
In which year did Facebook change its name to Meta?,2020,2021,2022,2023,1,Business
Which musician released the album "DAMN." in 2017?,Drake,Kendrick Lamar,J. Cole,Kanye West,1,Music
What is the best-selling video game of all time?,Grand Theft Auto V,Minecraft,Tetris,Wii Sports,2,Gaming
Which streaming service aired Squid Game?,Amazon Prime,Disney+,Netflix,Apple TV+,2,TV
Who sang "Bohemian Rhapsody"?,The Beatles,Queen,Led Zeppelin,Pink Floyd,1,Music
What year was Bitcoin created?,2007,2008,2009,2010,2,Technology
Which language is primarily used for Android development?,Swift,Kotlin,Python,C#,1,Technology
What does IDE stand for?,Internet Development Environment,Integrated Development Environment,Interactive Design Environment,Interface Development Engine,1,Technology
Which company developed the JavaScript language?,Google,Microsoft,Netscape,Oracle,3,Technology
What does NoSQL stand for?,No Structured Query,Not Only SQL,Non Standard Query Language,No SQL,1,Technology
Who created Linux?,Richard Stallman,Ken Thompson,Linus Torvalds,Dennis Ritchie,2,Technology
What port does HTTPS use?,80,443,8080,22,1,Technology
Which company created the Ethereum blockchain?,Binance,Coinbase,Vitalik Buterin and co.,Ripple,2,Technology
In the Matrix, what color pill does Neo take?,Blue,Red,Green,Yellow,1,Technology
Which 2023 film grossed over $1B and features a doll?,Oppenheimer,Barbie,The Super Mario Bros Movie,Wonka,1,Technology
What is the name of Stranger Things' fictional town?,Hawkins,Derry,Sunnydale,Springfield,0,Movies
Which artist has the most monthly listeners on Spotify?,Taylor Swift,The Weeknd,Ed Sheeran,Drake,0,Movies
What was the first video game to feature a jump?,Super Mario Bros.,Donkey Kong,Pitfall!,Space Invaders,1,TV
In Demon Slayer, what is Tanjiro's breathing style?,Flame,Water,Thunder,Wind,1,Music
Which social media app was launched first?,TikTok,Instagram,Snapchat,Twitter,3,Gaming
Which Pokémon can control time?,Palkia,Dialga,Celebi,Mewtwo,1,Anime
In Fullmetal Alchemist, what do the brothers seek?,The One Ring,The Philosopher's Stone,The Holy Grail,The Elder Wand,1,Anime
What is the name of Naruto's rival?,Sakura,Kakashi,Sasuke,Gara,2,Anime
Which anime features the Demon Slayer Corps?,Jujutsu Kaisen,Demon Slayer,Tokyo Revengers,Bleach,1,Anime
In Cowboy Bebop, what is the name of the spaceship?,Starship Enterprise,Bebop,Soul Eater,Millennium Falcon,1,Anime
Which anime character says "I am Atomic"?,Saitama,Luffy,Goku,Tanjiro,0,Anime
What year was the Nintendo Switch released?,2015,2016,2017,2018,2,Anime
Which game features a battle royale mode called "The Loop"?,Call of Duty,Fortnite,Apex Legends,Warzone,1,Gaming
What does GPU stand for?,Graphical Processing Unit,Graphics Processing Unit,General Processing Unit,Graphic Power Unit,1,Gaming
Which programming language is used for iOS apps?,Java,Kotlin,Swift,C#,2,Technology
What year was Amazon founded?,1994,1995,1996,1998,0,Technology
What does DNS stand for?,Domain Network System,Digital Name Service,Domain Name System,Data Network Service,2,Technology
Which company makes the Xbox?,Sony,Microsoft,Nintendo,Google,1,Technology
What does AI stand for?,Automated Intelligence,Artificial Intelligence,Augmented Intelligence,Applied Intelligence,1,Technology
Which coding bootcamp platform was founded in 2011?,Codecademy,Coursera,Udacity,Khan Academy,0,Technology
In what year was YouTube launched?,2003,2004,2005,2006,2,Technology
What does FTP stand for?,File Transfer Protocol,File Transmission Process,File Tracking Protocol,Fast Transfer Protocol,0,Technology
Which company created React?,Facebook,Google,Microsoft,Twitter,0,Technology
What port does HTTP use?,80,443,8080,25,0,Technology
